id;vin_number;registration_number;date_sent_to_fic;date_fixed;milage;car_element_name;fault_severity;cost;mechanics_report
1;V30MZETH62100001;K3100001;2017-12-25;2018-01-01;14051;Sprzeglo;6;2675;Komentarz mechanika
2;V30MZETH62100001;K3100001;2017-12-25;2018-01-01;14051;Okna;2;4254;Komentarz mechanika
3;V30MZETH62100001;K3100001;2018-04-17;2018-04-24;14051;Okna;2;2739;Komentarz mechanika
4;V30MZETH62100001;K3100001;2018-04-17;2018-04-24;14051;Uszkodzenie;6;5741;Komentarz mechanika
5;T71DBOSE49100002;U0100002;2017-03-03;2017-03-06;17986;Nadwozie;6;305;Komentarz mechanika
6;T71DBOSE49100002;U0100002;2017-03-03;2017-03-06;17986;Swiatla;2;9588;Komentarz mechanika
7;T71DBOSE49100002;U0100002;2017-03-03;2017-03-06;17986;Wydech;6;195;Komentarz mechanika
8;T71DBOSE49100002;U0100002;2015-02-23;2015-03-04;17986;Sprzeglo;2;6875;Komentarz mechanika
9;T71DBOSE49100002;U0100002;2016-02-19;2016-02-19;17986;Wydech;4;1095;Komentarz mechanika
10;T71DBOSE49100002;U0100002;2016-02-19;2016-02-19;17986;Warczy;2;6585;Komentarz mechanika
11;T71DBOSE49100002;U0100002;2016-02-19;2016-02-19;17986;Nadwozie;9;6941;Komentarz mechanika
12;T71DBOSE49100002;U0100002;2016-02-19;2016-02-19;17986;Silnik;4;2942;Komentarz mechanika
13;C24QWNAU04100003;B3100003;2020-02-20;2020-03-01;12642;Sprzeglo;2;6734;Komentarz mechanika
14;C24QWNAU04100003;B3100003;2020-02-20;2020-03-01;12642;Okna;9;9056;Komentarz mechanika
15;C24QWNAU04100003;B3100003;2019-06-10;2019-06-15;12642;Opona;5;9437;Komentarz mechanika
16;C24QWNAU04100003;B3100003;2020-12-13;2020-12-17;12642;Uszkodzenie;2;763;Komentarz mechanika
17;M28SBUFE05100004;N2100004;2011-04-20;2011-04-21;11420;Warczy;10;1926;Komentarz mechanika
18;M28SBUFE05100004;N2100004;2011-04-20;2011-04-21;11420;Silnik;6;957;Komentarz mechanika
19;M28SBUFE05100004;N2100004;2011-04-20;2011-04-21;11420;Nadwozie;6;1442;Komentarz mechanika
20;W83POJCF48100005;G1100005;1996-04-14;1996-04-20;15434;Swiatla;2;6100;Komentarz mechanika
21;W83POJCF48100005;G1100005;1996-04-14;1996-04-20;15434;Inne;4;6338;Komentarz mechanika
22;W83POJCF48100005;G1100005;2013-03-22;2013-03-24;15434;Uszkodzenie;2;8614;Komentarz mechanika
23;W83POJCF48100005;G1100005;2013-03-22;2013-03-24;15434;Sprzeglo;2;1267;Komentarz mechanika
24;W83POJCF48100005;G1100005;2013-03-22;2013-03-24;15434;Wydech;6;8201;Komentarz mechanika
