LOD101,firepolice,lodzkie,Skierniewice,5,185,324
LUB102,firepolice,lubelskie,Kazimierz Dolny,3,393,294
MAZ103,firepolice,mazowieckie,Ostrolêka,7,197,338
OPO104,firepolice,opolskie,	Namyslow,8,365,365
DSK105,firepolice,dolnoslaskie,Legnica,1,256,237
LUK106,firepolice,lubuskie,Skwierzyna,4,261,352
DSK107,firepolice,dolnoslaskie,Bardo,1,169,427
MAL108,firepolice,malopolskie,Wieliczka,6,407,144
LOD109,firepolice,lodzkie,Kutno,5,231,411
KPM110,firepolice,kujawsko-pomorskie,Wloclawek,2,234,479
LUB111,firepolice,lubelskie,Chelm,3,286,262
LOD112,firepolice,lodzkie,Sieradz,5,305,291
KPM113,firepolice,kujawsko-pomorskie,Tuchola,2,334,279
LOD114,firepolice,lodzkie,Tomaszow Mazowiecki,5,120,487
MAZ115,firepolice,mazowieckie,Legionowo,7,344,456
KPM116,firepolice,kujawsko-pomorskie,Bydgoszcz,2,264,454
MAL117,firepolice,malopolskie,Olkusz,6,144,169
MAL118,firepolice,malopolskie,Krakow,6,164,121
LUK119,firepolice,lubuskie,zagañ,4,472,365
LOD120,firepolice,lodzkie,Skierniewice,5,353,188
KPM121,firepolice,kujawsko-pomorskie,Grudziadz,2,474,286
LOD122,firepolice,lodzkie,Skierniewice,5,467,164
DSK123,firepolice,dolnoslaskie,Wroclaw,1,199,447
DSK124,firepolice,dolnoslaskie,Legnica,1,109,185
KPM125,firepolice,kujawsko-pomorskie,Inowroclaw,2,286,203
OPO126,firepolice,opolskie,Kluczbork,8,153,112
KPM127,firepolice,kujawsko-pomorskie,Ciechocinek,2,322,213
MAL128,firepolice,malopolskie,Krakow,6,436,115
DSK129,firepolice,dolnoslaskie,Bardo,1,492,217
LUK130,firepolice,lubuskie,Gozdnica,4,219,375
KPM131,firepolice,kujawsko-pomorskie,Grudziadz,2,331,370
MAZ132,firepolice,mazowieckie,Pruszkow,7,268,116
MAZ133,firepolice,mazowieckie,Piaseczno,7,426,324
OPO134,firepolice,opolskie,Krapkowice,8,409,394
LOD135,firepolice,lodzkie,Sieradz,5,182,404
LUK136,firepolice,lubuskie,Kostrzyn nad Odra,4,187,458
KPM137,firepolice,kujawsko-pomorskie,Grudziadz,2,440,316
LUK138,firepolice,lubuskie,Gubin,4,187,412
LUB139,firepolice,lubelskie,Krasnystaw,3,167,370
KPM140,firepolice,kujawsko-pomorskie,swiecie,2,402,159
LUK141,firepolice,lubuskie,Gubin,4,326,227
MAZ142,firepolice,mazowieckie,Legionowo,7,348,135
LUK143,firepolice,lubuskie,Gorzow Wielkopolski,4,228,279
LOD144,firepolice,lodzkie,lodz,5,411,391
OPO145,firepolice,opolskie,Kluczbork,8,483,396
LUB146,firepolice,lubelskie,Lublin,3,494,335
MAZ147,firepolice,mazowieckie,Pruszkow,7,107,118
MAL148,firepolice,malopolskie,Tarnow,6,394,304
LOD149,firepolice,lodzkie,Zgierz,5,254,137
