1,LOD101,2,2000-09-26,2000-09-26,15:44:00,21:50:00,Skierniewice,lodzkie
2,LOD101,4,2000-07-26,2000-07-26,01:15:00,14:58:00,Skierniewice,lodzkie
3,LOD101,6,2000-06-26,2000-06-27,18:26:00,19:58:00,Skierniewice,lodzkie
4,LOD101,8,2000-06-26,2000-06-27,23:29:00,14:55:00,Skierniewice,lodzkie
5,LOD101,11,2000-11-27,2000-11-28,01:42:00,01:52:00,Skierniewice,lodzkie
6,LOD101,13,2000-07-26,2000-07-26,01:44:00,23:56:00,Skierniewice,lodzkie
7,LOD101,14,2000-08-26,2000-08-26,12:36:00,22:59:00,Skierniewice,lodzkie
8,LOD101,15,2000-06-26,2000-06-26,05:56:00,23:59:00,Skierniewice,lodzkie
9,LOD101,17,2000-08-26,2000-08-27,01:53:00,00:59:00,Skierniewice,lodzkie
10,LOD101,19,2000-08-26,2000-08-27,01:13:00,01:59:00,Skierniewice,lodzkie
11,LOD101,20,2000-08-26,2000-08-27,20:27:00,01:56:00,Skierniewice,lodzkie
12,LOD101,22,2000-06-26,2000-06-26,11:32:00,20:55:00,Skierniewice,lodzkie
13,LOD101,25,2000-07-26,2000-07-26,01:34:00,17:59:00,Skierniewice,lodzkie
14,LOD101,26,2000-11-26,2000-11-26,01:13:00,16:59:00,Skierniewice,lodzkie
15,LOD101,28,2000-10-26,2000-10-27,22:37:00,19:59:00,Skierniewice,lodzkie
16,LOD101,31,2000-06-26,2000-06-26,01:32:00,13:53:00,Skierniewice,lodzkie
17,LOD101,34,2000-11-26,2000-11-27,19:48:00,18:57:00,Skierniewice,lodzkie
18,LOD101,37,2000-11-27,2000-11-27,01:26:00,20:56:00,Skierniewice,lodzkie
19,LOD101,39,2000-08-26,2000-08-26,01:05:00,21:57:00,Skierniewice,lodzkie
20,LOD101,41,2000-07-26,2000-07-26,01:16:00,20:57:00,Skierniewice,lodzkie
21,LOD101,43,2000-12-26,2000-12-27,20:51:00,05:53:00,Skierniewice,lodzkie
22,LOD101,45,2000-09-26,2000-09-27,18:49:00,01:56:00,Skierniewice,lodzkie
23,LOD101,48,2000-08-26,2000-08-26,01:15:00,20:58:00,Skierniewice,lodzkie
24,LUB102,50,2000-12-26,2000-12-27,23:20:00,10:40:00,Kazimierz Dolny,lubelskie
25,LUB102,52,2000-11-26,2000-11-26,15:42:00,19:57:00,Kazimierz Dolny,lubelskie
26,LUB102,55,2000-08-26,2000-08-26,01:51:00,09:57:00,Kazimierz Dolny,lubelskie
27,LUB102,58,2000-10-26,2000-10-27,22:39:00,06:57:00,Kazimierz Dolny,lubelskie
28,LUB102,60,2000-07-26,2000-07-26,11:38:00,23:59:00,Kazimierz Dolny,lubelskie
29,LUB102,62,2000-12-26,2000-12-27,01:25:00,07:34:00,Kazimierz Dolny,lubelskie
30,LUB102,64,2000-09-26,2000-09-27,12:48:00,01:53:00,Kazimierz Dolny,lubelskie
31,LUB102,66,2000-07-26,2000-07-26,17:35:00,23:55:00,Kazimierz Dolny,lubelskie
32,LUB102,67,2000-07-26,2000-07-26,01:01:00,21:59:00,Kazimierz Dolny,lubelskie
33,LUB102,69,2000-11-26,2000-11-26,01:08:00,14:38:00,Kazimierz Dolny,lubelskie
34,LUB102,72,2000-07-26,2000-07-26,01:32:00,09:56:00,Kazimierz Dolny,lubelskie
35,LUB102,75,2000-06-26,2000-06-26,01:28:00,13:58:00,Kazimierz Dolny,lubelskie
36,LUB102,76,2000-08-26,2000-08-26,10:06:00,19:53:00,Kazimierz Dolny,lubelskie
37,LUB102,77,2000-11-26,2000-11-28,20:42:00,01:57:00,Kazimierz Dolny,lubelskie
38,LUB102,80,2000-10-26,2000-10-26,08:30:00,18:53:00,Kazimierz Dolny,lubelskie
39,LUB102,82,2000-12-27,2000-12-27,01:24:00,18:38:00,Kazimierz Dolny,lubelskie
40,LUB102,84,2000-07-26,2000-07-27,01:04:00,00:43:00,Kazimierz Dolny,lubelskie
41,LUB102,87,2000-11-26,2000-11-27,15:45:00,22:48:00,Kazimierz Dolny,lubelskie
42,LUB102,90,2000-10-26,2000-10-27,18:30:00,01:55:00,Kazimierz Dolny,lubelskie
43,LUB102,93,2000-07-26,2000-07-27,01:40:00,01:59:00,Kazimierz Dolny,lubelskie
44,MAZ103,96,2000-09-26,2000-09-26,09:59:00,22:59:00,Ostrolêka,mazowieckie
45,MAZ103,99,2000-07-27,2000-07-28,01:28:00,00:55:00,Ostrolêka,mazowieckie
46,MAZ103,100,2000-08-26,2000-08-26,01:23:00,22:56:00,Ostrolêka,mazowieckie
47,MAZ103,103,2000-10-26,2000-10-27,22:26:00,19:59:00,Ostrolêka,mazowieckie
48,MAZ103,105,2000-11-26,2000-11-27,21:51:00,23:55:00,Ostrolêka,mazowieckie
49,MAZ103,107,2000-12-26,2000-12-26,01:54:00,23:58:00,Ostrolêka,mazowieckie
50,MAZ103,108,2000-06-26,2000-06-26,01:15:00,22:46:00,Ostrolêka,mazowieckie
51,MAZ103,110,2000-08-27,2000-08-27,00:24:00,08:58:00,Ostrolêka,mazowieckie
52,MAZ103,113,2000-06-26,2000-06-27,01:09:00,21:18:00,Ostrolêka,mazowieckie
53,MAZ103,114,2000-06-26,2000-06-27,20:34:00,21:57:00,Ostrolêka,mazowieckie
54,MAZ103,116,2000-07-26,2000-07-26,16:13:00,21:48:00,Ostrolêka,mazowieckie
55,MAZ103,117,2000-11-26,2000-11-27,22:31:00,18:59:00,Ostrolêka,mazowieckie
56,MAZ103,120,2000-06-26,2000-06-27,01:01:00,01:39:00,Ostrolêka,mazowieckie
57,MAZ103,123,2000-09-26,2000-09-27,21:20:00,01:59:00,Ostrolêka,mazowieckie
58,MAZ103,126,2000-06-26,2000-06-27,01:36:00,06:50:00,Ostrolêka,mazowieckie
59,MAZ103,129,2000-06-26,2000-06-27,18:53:00,00:56:00,Ostrolêka,mazowieckie
60,MAZ103,132,2000-07-26,2000-07-27,14:36:00,14:59:00,Ostrolêka,mazowieckie
61,MAZ103,135,2000-09-26,2000-09-27,23:56:00,17:57:00,Ostrolêka,mazowieckie
62,MAZ103,136,2000-08-27,2000-08-28,00:48:00,01:56:00,Ostrolêka,mazowieckie
63,MAZ103,138,2000-08-26,2000-08-26,01:31:00,20:47:00,Ostrolêka,mazowieckie
64,MAZ103,141,2000-10-26,2000-10-26,01:01:00,23:20:00,Ostrolêka,mazowieckie
65,MAZ103,143,2000-12-26,2000-12-27,13:37:00,00:59:00,Ostrolêka,mazowieckie
66,OPO104,146,2000-07-26,2000-07-26,01:13:00,14:45:00,	Namyslow,opolskie
67,OPO104,149,2000-07-27,2000-07-27,00:10:00,18:55:00,	Namyslow,opolskie
68,OPO104,151,2000-07-26,2000-07-26,01:22:00,18:56:00,	Namyslow,opolskie
69,OPO104,153,2000-06-26,2000-06-27,23:24:00,09:47:00,	Namyslow,opolskie
70,OPO104,155,2000-09-26,2000-09-26,15:32:00,23:56:00,	Namyslow,opolskie
71,OPO104,156,2000-12-26,2000-12-27,23:39:00,18:58:00,	Namyslow,opolskie
72,OPO104,159,2000-12-26,2000-12-27,13:20:00,01:39:00,	Namyslow,opolskie
73,OPO104,162,2000-06-26,2000-06-27,23:52:00,20:59:00,	Namyslow,opolskie
74,OPO104,165,2000-09-26,2000-09-26,01:14:00,18:35:00,	Namyslow,opolskie
75,OPO104,166,2000-09-26,2000-09-26,01:03:00,21:55:00,	Namyslow,opolskie
76,OPO104,167,2000-11-26,2000-11-27,01:06:00,00:40:00,	Namyslow,opolskie
77,OPO104,168,2000-10-26,2000-10-26,01:01:00,13:39:00,	Namyslow,opolskie
78,OPO104,170,2000-09-26,2000-09-27,23:26:00,11:41:00,	Namyslow,opolskie
79,OPO104,173,2000-07-26,2000-07-26,01:04:00,15:44:00,	Namyslow,opolskie
80,OPO104,175,2000-12-27,2000-12-27,01:21:00,22:43:00,	Namyslow,opolskie
81,OPO104,176,2000-09-26,2000-09-27,01:06:00,00:48:00,	Namyslow,opolskie
82,OPO104,178,2000-06-26,2000-06-27,22:58:00,19:59:00,	Namyslow,opolskie
83,OPO104,179,2000-11-26,2000-11-27,01:23:00,01:55:00,	Namyslow,opolskie
84,OPO104,180,2000-10-26,2000-10-27,01:06:00,16:22:00,	Namyslow,opolskie
85,OPO104,183,2000-09-27,2000-09-27,00:59:00,21:59:00,	Namyslow,opolskie
86,OPO104,185,2000-09-26,2000-09-26,01:37:00,19:55:00,	Namyslow,opolskie
87,OPO104,186,2000-06-26,2000-06-26,01:03:00,23:58:00,	Namyslow,opolskie
88,OPO104,189,2000-10-27,2000-10-28,00:31:00,01:46:00,	Namyslow,opolskie
89,OPO104,190,2000-06-26,2000-06-26,01:30:00,13:52:00,	Namyslow,opolskie
90,OPO104,191,2000-06-26,2000-06-26,17:32:00,23:47:00,	Namyslow,opolskie
91,OPO104,193,2000-09-26,2000-09-27,21:56:00,09:58:00,	Namyslow,opolskie
92,OPO104,196,2000-07-26,2000-07-27,21:58:00,21:59:00,	Namyslow,opolskie
93,OPO104,199,2000-12-26,2000-12-27,01:04:00,13:34:00,	Namyslow,opolskie
94,OPO104,202,2000-12-27,2000-12-28,00:09:00,01:44:00,	Namyslow,opolskie
95,OPO104,205,2000-07-26,2000-07-26,06:37:00,19:59:00,	Namyslow,opolskie
96,OPO104,206,2000-12-26,2000-12-27,20:51:00,01:57:00,	Namyslow,opolskie
97,OPO104,208,2000-08-26,2000-08-28,01:37:00,01:56:00,	Namyslow,opolskie
98,OPO104,211,2000-11-26,2000-11-27,01:11:00,01:40:00,	Namyslow,opolskie
99,OPO104,213,2000-06-26,2000-06-26,01:32:00,15:58:00,	Namyslow,opolskie
