V30MZETH62100001,LOD101,Brand4,Model1,LARGE,K3100001,1998-05-16,192,14051
T71DBOSE49100002,LOD101,Brand1,Model1,MEDIUM,U0100002,2004-09-26,187,17986
C24QWNAU04100003,LOD101,Brand3,Model2,SMALL,B3100003,2019-12-08,166,12642
M28SBUFE05100004,LOD101,Brand1,Model2,SMALL,N2100004,2007-11-15,195,11420
W83POJCF48100005,LOD101,Brand2,Model4,BIG,G1100005,1996-07-29,101,15434
W64FAQPL84100006,LOD101,Brand1,Model1,SMALL,Y9100006,2000-10-12,118,15995
L93UGYLO28100007,LOD101,Brand2,Model3,MEDIUM,T9100007,2018-04-30,103,18485
V36UUFKZ07100008,LOD101,Brand1,Model4,BIG,Q9100008,2008-06-13,143,12705
P80WETZQ08100009,LOD101,Brand2,Model4,SMALL,C4100009,1992-02-04,190,13138
V69UFZNA71100010,LUB102,Brand4,Model2,MEDIUM,Y7100010,2015-07-10,197,12862
P00YLUOH49100011,LUB102,Brand1,Model3,MEDIUM,G5100011,1996-11-14,174,12624
J64CJUAH11100012,LUB102,Brand1,Model3,LARGE,A7100012,2019-03-25,176,17710
Z68XOHNQ73100013,LUB102,Brand1,Model2,BIG,R2100013,1999-09-07,153,19005
P97NLTMM98100014,LUB102,Brand3,Model2,LARGE,C4100014,1997-03-19,194,14804
P96GPJLG02100015,LUB102,Brand3,Model2,MEDIUM,Y3100015,2009-12-21,176,17171
W79MXCIU10100016,LUB102,Brand2,Model3,BIG,Z4100016,2018-08-19,103,16871
T20LNHGE12100017,LUB102,Brand2,Model4,LARGE,O8100017,1993-01-04,178,15384
U90FTFTH78100018,LUB102,Brand2,Model1,SMALL,Y9100018,2009-06-04,186,19796
U09YTCTL80100019,LUB102,Brand4,Model4,BIG,P4100019,2008-08-09,115,15765
K78UVKXV01100020,MAZ103,Brand3,Model2,SMALL,C2100020,2001-06-14,127,10374
C62FHMYP72100021,MAZ103,Brand1,Model2,BIG,D8100021,2004-11-23,125,14786
C39OHFFS77100022,MAZ103,Brand4,Model4,BIG,N7100022,1998-08-23,166,10135
Z63MXNHG46100023,MAZ103,Brand4,Model3,BIG,M7100023,2001-09-20,183,13233
N40KESHQ48100024,MAZ103,Brand3,Model4,MEDIUM,X4100024,1992-05-04,140,14580
F40GVTBA92100025,MAZ103,Brand2,Model3,SMALL,F7100025,2008-04-25,190,13514
P09GQEHP23100026,OPO104,Brand4,Model3,BIG,J8100026,2018-04-18,131,13541
K14LSWVM89100027,OPO104,Brand3,Model4,LARGE,N3100027,2007-03-12,110,10208
W23YHBJH63100028,OPO104,Brand4,Model4,LARGE,X9100028,2016-03-23,127,10073
S06HYVBM45100029,OPO104,Brand1,Model3,LARGE,T6100029,2020-12-05,155,15278
M63KZPDF79100030,OPO104,Brand4,Model4,LARGE,D8100030,2006-07-31,170,15087
G53SKGFF34100031,OPO104,Brand2,Model2,MEDIUM,F0100031,2002-09-06,117,12619
U69UDCUA23100032,OPO104,Brand1,Model3,MEDIUM,F4100032,2006-04-08,176,11515
Z54TXRRY93100033,OPO104,Brand1,Model4,MEDIUM,E6100033,1993-02-14,137,19965
X83NOJQB99100034,OPO104,Brand3,Model4,LARGE,A6100034,1991-06-09,184,13267
G03GDZUR29100035,OPO104,Brand4,Model1,SMALL,K8100035,2016-11-01,109,17778
W47ZWAWB63100036,DSK105,Brand1,Model1,SMALL,L3100036,2002-03-09,134,14435
R41RFXHL62100037,DSK105,Brand1,Model4,BIG,G9100037,2005-10-02,106,12162
O65KIJMD95100038,DSK105,Brand4,Model3,SMALL,W7100038,2014-02-27,160,18077
Q08ABZZD08100039,DSK105,Brand2,Model2,MEDIUM,D4100039,1994-05-27,126,11045
S01BCGOU55100040,DSK105,Brand3,Model4,LARGE,W5100040,2015-06-17,107,15854
U53RTOLS02100041,DSK105,Brand3,Model3,SMALL,H8100041,1994-06-09,108,12576
W40ZKWKD31100042,DSK105,Brand1,Model1,BIG,L0100042,2012-05-12,177,15007
Q64JKHEP38100043,DSK105,Brand3,Model4,MEDIUM,R7100043,2012-02-24,173,16398
F12AMWAD19100044,DSK105,Brand3,Model3,MEDIUM,K1100044,2019-01-21,109,13371
H46RVDVQ05100045,DSK105,Brand1,Model1,MEDIUM,W4100045,1993-05-28,151,15323
V01HXHWQ58100046,DSK105,Brand1,Model1,SMALL,J3100046,1994-06-11,107,11528
H58BBJPN40100047,LUK106,Brand3,Model2,BIG,T0100047,1999-10-20,103,16387
R64QYALT46100048,LUK106,Brand1,Model1,SMALL,V6100048,2007-09-18,159,15232
Q72EKYJF18100049,LUK106,Brand4,Model2,SMALL,X2100049,2018-05-26,167,11511
M78AMWCY59100050,LUK106,Brand3,Model2,MEDIUM,O8100050,2007-05-24,133,19537
H09ZMAVE71100051,LUK106,Brand2,Model3,LARGE,Q8100051,2003-11-25,142,13176
B04TQNMD30100052,LUK106,Brand1,Model1,MEDIUM,U5100052,1994-05-25,123,19877
G81SDXDC55100053,LUK106,Brand2,Model3,MEDIUM,W1100053,2002-06-28,161,19783
K75LDVLP37100054,LUK106,Brand1,Model3,BIG,X8100054,2006-05-12,178,12303
Q56AHUXH03100055,LUK106,Brand4,Model3,LARGE,W8100055,2018-11-13,145,10342
I46IALCK41100056,LUK106,Brand3,Model4,MEDIUM,M5100056,2001-02-13,128,17492
T42TSFSM48100057,LUK106,Brand4,Model3,BIG,Q5100057,2005-10-06,119,11834
Z92NURYX90100058,LUK106,Brand4,Model3,MEDIUM,O0100058,1991-03-13,138,13335
I28ABJTY53100059,LUK106,Brand3,Model1,MEDIUM,H6100059,1998-12-29,196,14511
I63MVXOS69100060,LUK106,Brand2,Model4,MEDIUM,V7100060,2017-01-29,157,10615
