1,1,Wypadek,1
2,1,Wypadek,1
3,2,Wybuch,4
4,3,Wypadek,4
5,4,Sanitarne,2
6,4,Wypadek,2
7,5,Wypadek,1
8,6,Bomba,4
9,6,Wyciek plynow,1
10,7,Wypadek,4
11,7,Bomba,3
12,8,Wybuch gazu,2
13,8,Drogowe,2
14,9,Wybuch,5
15,10,Epidemia,2
16,11,Epidemia,3
17,12,Powodz,5
18,13,Pozar,5
19,14,Pozar,2
20,14,Epidemia,1
21,14,Kolizja,1
22,15,Powodz,4
23,16,Wybuch gazu,5
24,16,Drogowe,4
25,16,Bomba,1
26,17,Wybuch gazu,4
27,17,Wybuch,2
28,18,Wypadek,3
29,18,Wypadek,5
30,19,Drogowe,5
31,20,Epidemia,1
32,20,Powodz,5
33,20,Sanitarne,4
34,21,Powodz,4
35,21,Zwierzeta,1
36,22,Wyciek plynow,2
37,23,Pozar,2
38,23,Bomba,1
39,23,Inne,4
40,24,Powodz,4
41,24,Drogowe,3
42,25,Powodz,5
43,26,Wybuch gazu,3
44,26,Sanitarne,5
45,27,Powodz,2
46,28,Wybuch gazu,3
47,28,Wybuch gazu,1
48,29,Kolizja,1
49,30,Zwierzeta,4
50,30,Wybuch,3
51,30,Bomba,5
52,31,Kolizja,1
53,31,Bomba,2
54,32,Kolizja,5
55,32,Inne,3
56,33,Bomba,5
57,33,Inne,5
58,34,Drogowe,1
59,34,Kolizja,2
60,34,Bomba,5
61,35,Inne,2
62,36,Sanitarne,1
63,36,Pozar,1
64,37,Wybuch,3
65,38,Sanitarne,4
66,39,Pozar,4
67,40,Sanitarne,2
68,40,Powodz,3
69,40,Powodz,2
70,41,Wypadek,4
71,41,Kolizja,5
72,42,Wyciek plynow,3
73,42,Wybuch,3
74,43,Zwierzeta,5
75,43,Sanitarne,4
76,43,Wyciek plynow,5
77,44,Pozar,1
78,44,Wypadek,2
79,44,Wybuch,4
80,45,Wybuch gazu,3
81,45,Pozar,1
82,46,Wybuch gazu,5
83,46,Wyciek plynow,4
84,47,Zwierzeta,3
85,47,Wybuch,3
86,48,Powodz,1
87,48,Powodz,1
88,48,Bomba,2
89,49,Inne,5
90,49,Pozar,4
91,49,Sanitarne,4
92,50,Zwierzeta,3
93,50,Sanitarne,2
94,50,Wybuch gazu,3
95,51,Inne,1
96,52,Bomba,3
97,52,Pozar,1
98,53,Pozar,1
99,54,Bomba,3
100,54,Wybuch,4
101,55,Wypadek,3
102,56,Wybuch gazu,2
103,57,Wyciek plynow,3
104,58,Zwierzeta,4
105,58,Sanitarne,1
106,58,Bomba,5
107,59,Inne,2
108,59,Sanitarne,2
109,60,Wyciek plynow,5
110,60,Powodz,1
111,60,Wyciek plynow,2
112,61,Wybuch,5
113,61,Zwierzeta,5
114,62,Sanitarne,5
115,62,Inne,4
116,62,Wypadek,2
117,63,Kolizja,5
118,64,Wybuch,1
119,64,Kolizja,2
120,64,Wyciek plynow,1
121,65,Wybuch,1
122,65,Wyciek plynow,5
123,65,Wybuch gazu,2
124,66,Bomba,5
125,66,Wypadek,5
126,67,Drogowe,5
127,67,Bomba,3
128,68,Wypadek,2
129,68,Inne,5
130,68,Wypadek,1
131,69,Sanitarne,2
132,69,Epidemia,3
133,69,Powodz,3
134,70,Wyciek plynow,5
135,71,Zwierzeta,1
136,71,Inne,1
137,72,Wypadek,2
138,72,Kolizja,1
139,73,Sanitarne,3
140,74,Kolizja,2
141,75,Wypadek,3
142,76,Wybuch gazu,1
143,76,Wyciek plynow,3
144,76,Powodz,1
145,77,Wybuch,5
146,78,Kolizja,5
