id_fault,car_element_name,fault_severity,price,
1,Hamulce,LOW,HIGH
2,Silnik,LOW,MEDIUM
3,Hamulce,HIGH,MEDIUM
4,Hamulce,MEDIUM,BIG
5,Warczy,LOW,LOW
6,Hamulce,LOW,LOW
7,Warczy,HIGH,MEDIUM
8,Wydech,LARGE,LARGE
9,Wydech,LOW,LOW
10,Warczy,LOW,LOW
11,Warczy,HIGH,BIG
12,Wydech,CRITICAL,LARGE
13,Hamulce,LOW,LOW
14,Hamulce,LOW,LOW
15,Warczy,HIGH,BIG
16,Warczy,HIGH,BIG
17,Warczy,HIGH,MEDIUM
18,Hamulce,HIGH,MEDIUM
19,Wydech,CRITICAL,BIG
20,Warczy,MEDIUM,LARGE
21,Hamulce,MEDIUM,MEDIUM
22,Wydech,MEDIUM,MEDIUM
23,Wydech,CRITICAL,LARGE
24,Warczy,CRITICAL,LARGE
25,Silnik,LOW,BIG
26,Warczy,MEDIUM,MEDIUM
27,Silnik,MEDIUM,BIG
28,Hamulce,CRITICAL,LARGE
29,Wydech,MEDIUM,LOW
30,Warczy,MEDIUM,MEDIUM
